TÍTULO;TIPO;AÑO;CONTENIDO
El buen amigo gigante / Mi gran amigo el gigante;Imagen real;2016;Original 
Buscando a Dory;Animada;2016;Spin-Off
Doctor Strange;Imagen real;2016;Original 
Mi amigo el dragón / Peter y el dragón;Imagen real;2016;Remake 
Reina de Katwe;Imagen real;2016;Original 
Rogue One;Imagen real;2016;Spin-Off
Moana: Un mar de aventuras / Vaiana;Animada;2016;Original 
Growing Up Wild;Imagen real;2016;Original 
Dangal;Imagen real;2016;Original 
La bella y la bestia;Imagen real;2017;Remake 
La marcha de los pingüinos 2;Imagen real;2017;Documental
Nacidos en China;Imagen real;2017;Documental
Guardianes de la galaxia 2;Imagen real;2017;Secuela
Piratas del Caribe: La venganza de Salazar;Imagen real;2017;Secuela
Cars 3;Animada;2017;Secuela
Thor: Ragnarok;Imagen real;2017;Secuela
Ghost of the Mountains;Imagen real;2017;Documental
Jagga Jasoos;Imagen real;2017;Original 
Coco;Animada;2017;Original 
Star Wars: Los Últimos Jedi;Imagen real;2017;Secuela
Expedition China;Imagen real;2017;Documental
Un viaje en el tiempo / Un pliegue en el tiempo;Imagen real;2018;Original 
Han Solo: una historia de Star Wars;Imagen real;2018;Spin-Off
Los Increíbles 2;Animada;2018;Secuela
Christopher Robin;Imagen real;2018;Spin-Off
Pantera Negra;Imagen real;2018;Original 
Avengers: Infinity War;Imagen real;2018;Secuela
El Cascanueces y los cuatro reinos;Imagen real;2018;Original 
Ant-man y la avispa;imagen real;2018;Secuela
Wi-Fi Ralph / Ralph Rompe Internet;Animada;2018;Secuela
El Regreso de Mary Poppins;Imagen real;2018;Secuela
Dumbo;Imagen real;2019;Remake 
Pingüinos;Imagen real;2019;Documental
Aladdín;imagen real;2019;Remake 
Capitana Marvel;Imagen real;2019;Secuela
Toy Story 4;Animada;2019;Secuela
El Rey León;imagen real;2019;Remake 
Los vengadores: Endgame;Imagen real;2019;Secuela
Maléfica: Dueña del Mal / Maléfica: Maestra del Mal;imagen real;2019;Secuela
La Dama y el Vagabundo;imagen real;2019;Remake 
Noelle;imagen real;2019;Original 
Frozen II;Animada;2019;Secuela
Star Wars: El ascenso de Skywalker;imagen real;2019;Secuela
Togo;imagen real;2019;Original 
Las aventuras de Timmy Fracaso / DeSastre y Total: Agencia de detectives nº 1;imagen real;2020;Original 
Unidos / Onward;Animada;2020;Original 
Stargirl;imagen real;2020;Original 
Magic Camp: Campamento Mágico;imagen real;2020;Original 
Phineas y Ferb, la película: Candace contra el Universo;Animada;2020;Spin-Off
Artemis Fowl: El Mundo Subterráneo;imagen real;2020;Original 
Hamilton;imagen real;2020;Original 
El Único y Gran Iván / El Magnífico Iván;imagen real;2020;Original 
Mulán;imagen real;2020;Remake 
Sociedad Secreta de Hijos Reales;imagen real;2020;Original 
Belleza Negra;imagen real;2020;Original 
Amandrihada;imagen real;2020;Original 
Safety: La última línea de Defensa;imagen real;2020;Original 
Soul;Animada;2020;Original 
Flora y Ulises;imagen real;2021;Original 
Raya y el Último Dragón;Animada;2021;Original 
Black Widow;Imagen real;2021;Precuela
Cruella;imagen real;2021;Precuela
Shang-Chi y la leyenda de los Diez Anillos;Imagen real;2021;Original 
Luca;Animada;2021;Original 
Eternals;Imagen real;2021;Original 
Jungle Cruise;imagen real;2021;Original 
Encanto;Animada;2021;Original 
El diario de Greg;imagen real;2021;Original 
La era de hielo: Las aventuras de Buck / Ice Age: Las Aventuras de Buck;Animada;2022;Spin-Off
Sneakerella;imagen real;2022;Original 
Doctor Strangecen el multiverso de la locura;Imagen real;2022;Secuela
Red;Animada;2022;Original 
Más barato por docena / Doce en casa;imagen real;2022;Remake 
Chip y Dale al rescate / Chip y Chop: los guardianes rescatadores;Animada;2022;Spin-Off
Thor: amor y trueno;Imagen Real;2022;Secuela
Stargirl en Hollywood;imagen real;2022;Original 
Lightyear;Animada;2022;Spin-Off
Pantera Negra: Wakanda forever;Imagen real;2022;Secuela
Pinocho;Animada;2022;Remake 
Abracadabra 2 / El Retorno de las Brujas 2;imagen real;2022;Secuela
Desencantada;imagen real;2022;Secuela
Un Mundo Extraño / Mundo extraño;Animada;2022;Original 
Una noche en el museo: el regreso de Kahmunrah / Noche en el museo: El retorno de Kahmunrah;imagen real;2022;Secuela
Peter Pan & Wendy;imagen real;2023;Remake 
Ant-Man y la Avispa: Quantumanía;Imagen real;2023;Secuela
La Sirenita;Imagen real;2023;Remake 
Guardianes de la Glaxia Vol.3;Imagen real;2023;Secuela
Elementos / Elemental;Animada;2023;Original 
The Marvels;Imagen real;2023;Secuela
Mansión Embrujada / Mansión Encantada;Imagen real;2023;Original 
Wish: El poder de los deseos;Animada;2023;Original 
Intensa-Mente 2 / Del revés 2;Animada;2024;Secuela
Deadpool & Wolverine;Imagen real;2024;Secuela
Moana 2 / Vaiana 2;Animada;2024;Secuela
Mufasa: El Rey León;Animada;2024;Precuela
Capitán América: un nuevo mundo;Imagen real;2025;Secuela
Blanca Nieves / Blancanieves;Animada;2025;Remake 
Thunderbolts;Imagen real;2025;Original 
Lilo y Stitch;Animada;2025;Remake 
Elio;Animada;2025;Original 
Los 4 Fantásticos;Imagen real;2025;Reboot
Otro viernes de locos / Ponte en mi lugar de nuevo;Imagen real;2025;Secuela
Tron: Ares;Imagen real;2025;Reboot
Zootopia 2;Animada;2025;Secuela
