TÍTULO EN ESPAÑOL;TIPO DE PELÍCULA;AÑO DE ESTRENO;CONTENIDO;;
Náufragos;Imagen real;1991;Original ;;
La fuerza del valor;Imagen real;1991;Original ;;
Rocketeer;Imagen real;1991;Original ;;
La bella y la bestia;Animada;1991;Original ;;
La pandilla;Imagen real;1992;Original ;;
Cariño he agrandado al niño / Querida agrandé al bebé;Imagen real;1992;Secuela;;
Somos los mejores / Los campeones;Imagen real;1992;Original ;;
Aladdín;Animada;1992;Original ;;
Los Muppets: Una historia de Navidad;Imagen real;1992;Spin-Off;;
Homeward Bound: The Incredible Journey;Imagen real;1993;Remake ;;
A Far Off Place;Imagen real;1993;Original ;;
Las aventuras de Huckleberry Finn;Imagen real;1993;Original ;;
Abracadabra / El retorno de las brujas;Imagen real;1993;Original ;;
Jamaica bajo cero / Elegidos para el triunfo;Imagen real;1993;Original ;;
Los tres mosqueteros;Imagen real;1993;Original ;;
El extraño mundo de Jack / Pesadilla antes de Navidad;Animada;1993;Original ;;
Voluntad de hierro;Imagen real;1994;Original ;;
Cheque en blanco;Imagen real;1994;Original ;;
Vuelven los mejores / Los Campeones 2;Imagen real;1994;Secuela;;
Colmillo Blanco 2;Imagen real;1994;Secuela;;
El retorno de Jafar;Animada;1994;Secuela;;
El rey león;Animada;1994;Original ;;
Angels in the Outfield;Imagen real;1994;Remake ;;
Squanto: A Warrior's Tale;Imagen real;1994;Original ;;
Santa Cláusula / ¡Vaya Santa Claus!;Imagen real;1994;Original ;;
El libro de la selva: la aventura continúa;Imagen real;1994;Secuela;;
Pesos pesados;Imagen real;1995;Original ;;
Man of the House;Imagen real;1995;Original ;;
La leyenda de Pecos Bill;Imagen real;1995;Original ;;
Goofy la película / Goofy e hijo;Animada;1995;Spin-Off;;
Pocahontas;Animada;1995;Original ;;
Operación elefante;Imagen real;1995;Original ;;
Aventuras en la corte del Rey Arturo / Un niño en la corte del Rey Arturo;Imagen real;1995;Original ;;
El gran equipo;Imagen real;1995;Original ;;
Frank y Ollie: Los magos de Disney;Imagen real;1995;Secuela;;
Toy Story;Animada;1995;Original ;;
Tom and Huck;Imagen real;1995;Original ;;
Los Muppets en la isla del tesoro / Los Teleñecos en la Isla del Tesoro;Imagen real;1996;Spin-Off;;
Volviendo a casa 2: perdidos en San Francisco;Imagen real;1996;Secuela;;
James y el melocotón gigante/ Jim y el durazno gigante;Mixta;1996;Original ;;
El jorobado de Notre Dame;Animada;1996;Original ;;
First Kid;imagen real;1996;Original ;;
El regreso de los mejores / Los campeones 3;Imagen real;1996;Secuela;;
Aladdín y el rey de los ladrones / Aladdín y los 40 ladrones;Animada;1996;Secuela;;
101 dálmatas: ¡Ahora la magia es real! / 101 dálmatas: ¡Más vivos que nunca!;Imagen real;1996;Remake ;;
Un gato del FBI;Imagen real;1997;Remake ;;
Jungle 2 Jungle;Imagen real;1997;Remake ;;
Hércules;Animada;1997;Original ;;
George de la selva / George de la jungla;Imagen real;1997;Original ;;
Air Bud;Imagen real;1997;Original ;;
RocketMan / El astronauta;Imagen real;1997;Original ;;
Flubber;Imagen real;1997;Remake ;;
Mr. Magoo;Imagen real;1997;Remake ;;
La bella y la bestia 2: Una Navidad Encantada;Animada;1997;Secuela;;
Vaya par de locos / Locura en el campamento;Imagen real;1998;Original ;;
El mundo mágico de Bella;Animada;1998;Spin-Off;;
Mulán;Animada;1998;Original ;;
Pocahontas 2: Viaje a un Nuevo Mundo;Animada;1998;Secuela;;
El rey león 2;Animada;1998;Secuela;;
Juego de Gemelas / Tú a Londres y yo a California;Imagen real;1998;Remake ;;
Air Bud 2: el fichaje de la liga;Imagen real;1998;Secuela;;
I'll Be Home for Christmas;Imagen real;1998;Original ;;
Bichos: Una aventura en miniatura;Animada;1998;Original ;;
Mi Gran Amigo Joe;Imagen real;1998;Remake ;;
Mi marciano favorito;Imagen real;1999;Remake ;;
