;;;
;;;
Columna1;Título en español;Título original;Fecha de estreno
D;Las aventuras de Huckleberry Finn;The Adventures of Huck Finn;
D;Abracadabra / El retorno de las brujas;Hocus Pocus;
D;Jamaica bajo cero / Elegidos para el triunfo;Cool Runnings;
D;Los tres mosqueteros;The Three Musketeers;
D;El extraño mundo de Jack / Pesadilla antes de Navidad;The Nightmare Before Christmas;
D;Voluntad de hierro;Iron Will;1994
D;Cheque en blanco;Blank Check;
D;Vuelven los mejores / Los Campeones 2;D2: The Mighty Ducks;
D;Colmillo Blanco 2;White Fang 2: The Myth of the White Wolf;
T;El retorno de Jafar;The Return of Jafar;
W;El rey león;The Lion King;
D;Angels in the Outfield;Angels in the Outfield;
D;Squanto: A Warrior's Tale;Squanto: A Warrior's Tale;
D;Santa Cláusula / ¡Vaya Santa Claus!;The Santa Clause;
D;El libro de la selva: la aventura continúa;The Jungle Book;
D;Pesos pesados;Heavyweights;1995
D;Man of the House;Man of the House;
D;La leyenda de Pecos Bill;Tall Tale;
T;Goofy, la película / Goofy e hijo;A Goofy Movie;
W;Pocahontas;Pocahontas;
D;Operación elefante;Operation Dumbo Drop;
D;Aventuras en la corte del Rey Arturo / Un niño en la corte del Rey Arturo;A Kid in King Arthur's Court;
D;El gran equipo;The Big Green;
D;Frank y Ollie: Los magos de Disney;Frank and Ollie;
P;Toy Story;Toy Story;
D;Tom and Huck;Tom and Huck;
D;Los Muppets en la isla del tesoro / Los Teleñecos en la Isla del Tesoro;Muppet Treasure Island;1996
D;Volviendo a casa 2: perdidos en San Francisco;Homeward Bound II: Lost in San Francisco;
D;James y el melocotón gigante/ Jim y el durazno gigante;James and the Giant Peach;
W;El jorobado de Notre Dame;The Hunchback of Notre Dame;
D;First Kid;First Kid;
D;El regreso de los mejores / Los campeones 3;D3: The Migthy Ducks;
T;Aladdín y el rey de los ladrones / Aladdín y los 40 ladrones;Aladdin and the King of Thieves;
D;101 dálmatas: ¡Ahora la magia es real! / 101 dálmatas: ¡Más vivos que nunca!;101 Dalmatians;
D;Un gato del FBI;That Darn Cat;1997
D;Jungle 2 Jungle;Jungle 2 Jungle;
W;Hércules;Hércules;
D;George de la selva / George de la jungla;George of the Jungle;
D;Air Bud;Air Bud;
D;RocketMan / El astronauta;RocketMan;
D;Flubber;Flubber;
D;Mr. Magoo;Mr. Magoo;
T;La bella y la bestia 2: Una Navidad Encantada;Beauty and the Beast: The Enchanted Christmas;
D;Vaya par de locos / Locura en el campamento;Meet the Deedles;1998
T;El mundo mágico de Bella;Belle's Magical World;
W;Mulán;Mulan;
T;Pocahontas 2: Viaje a un Nuevo Mundo;Pocahontas II: Journey to a New World;
T;El rey león 2;The Lion King II: Simba's Pride;
D;Juego de Gemelas / Tú a Londres y yo a California;The Parent Trap;
D;Air Bud 2: el fichaje de la liga;Air Bud : Golden Reciever;
D;I'll Be Home for Christmas;I'll Be Home for Christmas;
P;Bichos: Una aventura en miniatura;A Bug's Life;
D;Mi Gran Amigo Joe;Migthy Joe Young;
D;Mi marciano favorito;My Favorite Martian;1999
V;Doug: La película / Doug: Su 1ª película;Doug's 1st Movie;
D;Endurance;Endurance;
W;Tarzán;Tarzan;
D;Inspector Gadget;Inspector Gadget;
D;The Straight Story;The Straight Story;
D;La mano detrás del ratón: la historia de Ub Iwerks;The Hand Behind the Mouse: The Ub Iwerks Story;
T;Mickey celebra la Navidad / Mickey descubre la Navidad;Mickey's Once Upon a Christmas;
P;Toy Story 2;Toy Story 2;
;;;
;;;
;;;
;Título en español;Título original;Año de estreno
W;Fantasía 2000;Fantasia 2000;2000
V;La película de Tigger;The Tigger Movie;
D;Aventura elefantástica;Whispers: An Elephant's Tale;
T;Goofy 2: Extremadamente Goofy / Explosivamente Goofy;An Extremely Goofy Movie;
W;Dinosaurio;Dinosaur;
T;Buzz Lightyear, Comando Estelar: La aventura comienza / Buzz Lightyear: La película;Buzz Lightyear of Star Command: The Adventure Begins;
T;La sirenita 2: Regreso al mar;The Little Mermaid II: Return to the Sea;
D;El chico / Mi encuentro conmigo;The Kid;
D;Duelo de Titanes / Grito de Titanes;Remember the Titans;
D;102 Dálmatas;102 Dalmatians;
W;Las locuras del emperador / El emperador y sus locuras;The Emperor's New Groove;
V;La dama y el vagabundo II: Las aventuras de Scamp / La dama y el vagabundo II: Las aventuras de Golfillo;Lady and the Tramp II: Scamp's Adventure;2001
D;La hija de Robin Hood;Princess of Thieves;
V;Llegó el recreo / La banda del patio - La película;Recess: School's Out;
W;Atlantis: El imperio perdido;Atlantis: The Lost Empire;
D;El diario de la princesa / Princesa por sorpresa;The Princess Diaries;
D;Max Keeble's Big Movie;Max Keeble's Big Movie;
D;The Other Side of Heaven;The Other Side of Heaven;
P;Monsters, Inc. / Monstruos S.A.;Monsters, Inc.;
V;El Club de los Villanos con Mickey y sus Amigos / El Club de los Villanos;Mickey's House of Villains;
V;La Navidad Mágica de Mickey;Mickey's Magical Christmas: Snowed in at the House of Mouse;
D;Frío de perros / Aventuras en Alaska;Snow Dogs;2002
T;Peter Pan: El regreso al país de Nunca Jamás / Peter Pan en regreso al país de Nunca Jamás;Return to Never Land;
D;El novato;The Rookie;
W;Lilo & Stitch;Lilo & Stitch;
T;La Cenicienta 2: Un sueño hecho realidad / La Cenicienta 2: ¡La magia no termina a medianoche!;Cinderella II: Dreams Come True;
T;El jorobado de Notre Dame 2;The Hunchback of Notre Dame II;
T;Tarzán y Jane;Tarzan & Jane;
D;The Country Bears;The Country Bears;
D;Tuck Everlasting;Tuck Everlasting;
D;Santa Cláusula 2 / Santa Claus 2;The Santa Clause 2;
W;El planeta del tesoro;Treasure Planet;
T;101 dálmatas 2;101 dalmatians 2;2003
T;El libro de la selva 2;The Jungle Book 2;
T;La Gran Película de Piglet;Piglet's Big Movie;
T;Atlantis: El regreso de Milo;Atlantis: Milo's Return;
T;La película de Stitch;Stitch! The Movie;
D;Los fantasmas del Titanic;Ghosts of the Abyss;
D;El misterio de los Excavadores;Holes;
P;Buscando a Nemo;Finding Nemo;
D;Piratas del Caribe: La maldición de la Perla Negra / Piratas del Caribe: La maldición del Perla Negra;Pirates of the Caribbean: The Curse of the Black Pearl;
D;Un viernes de locos / Ponte en mi lugar;Freaky Friday;
D;Lizzie Superstar / Lizzie McGuire: Estrella Pop;The Lizzie McGuire Movie;
W;Tierra de osos / Hermano oso;Brother Bear;
D;La Mansión Encantada / La Mansión Embrujada;The Haunted Mansion;
V;Kim Possible: Problemas en el Tiempo / Kim Possible: A través del tiempo;Kim Possible: A Sitch in Time;
D;El joven corcel negro / Shetan, el caballo del desierto;The Young Black Stallion;
T;Mulán 2;Mulan 2;2004
T;El rey león 3: ¡Hakuna Matata!;The Lion King 1 1/2;
T;Una Primavera con Rito;Springtime with Roo;
T;Mickey, Donald y Goofy: Los tres mosqueteros;Mickey, Donald, Goofy: The Three Musketeers;
T;Mickey y sus amigos juntos otra Navidad / Mickey: La Mejor Navidad;Mickey's Twice Upon a Christmas;
V;Teacher's Pet / Este perro es un crack;Teacher's Pet;
D;Miracle;Miracle;
D;Confesiones de una típica adolescente / Quiero ser superfamosa;Confessions of a Teenage Drama Queen;
W;Vacas Vaqueras / Zafarrancho en el rancho;Home on the Range;
D;Sacred Planet;Sacred Planet;
D;America's Heart and Soul;America's Heart and Soul;
D;El Diario De La Princesa 2 / Princesa por sorpresa 2;The Princess Diaries 2: Royal Engagement;
P;Los Increíbles;The Incredibles;
D;La búsqueda / La leyenda del tesoro perdido;National Treasure;
D;Aliens of the Deep / Misterios del océano;Aliens of the Deep;2005
T;Winnie Pooh y el pequeño efelante / La película de Héffalump;Pooh's Heffalump Movie;
T;Tarzán 2;Tarzan 2;
T;Lilo y Stitch 2: En corto circuito / Lilo y Stitch 2: El efecto del defecto;Lilo & Stitch 2: Stitch Has a Glitch;
V;Kim Possible la película: Todo un drama / Kim Possible: Sí es para Tanto;Kim Possible Movie: So the Drama;
T;La familia Proud: La película / Los Proud: La Película;The Proud Family Movie;
D;Una niñera a prueba de balas / Niñera a prueba de balas;The Pacifier;
D;Soñando, soñando triunfé patinando / Sueños sobre hielo;Ice Princess;
