Título en español;Título original;Fecha de estreno;$ Recaudación 
Operación elefante;Operation Dumbo Drop;1995;"
47809421"
Aventuras en la corte del Rey Arturo / Un niño en la corte del Rey Arturo;A Kid in King Arthur's Court;1995;25981285
El gran equipo;The Big Green;1995;34372339
Frank y Ollie: Los magos de Disney;Frank and Ollie;1995;
Toy Story;Toy Story;1995;370409631
Tom and Huck;Tom and Huck;1995;"
45911517"
Los Muppets en la isla del tesoro / Los Teleñecos en la Isla del Tesoro;Muppet Treasure Island;1996;65470567
Volviendo a casa 2: perdidos en San Francisco;Homeward Bound II: Lost in San Francisco;1996;62384706
James y el melocotón gigante/ Jim y el durazno gigante;James and the Giant Peach;1996;"
55159783"
El jorobado de Notre Dame;The Hunchback of Notre Dame;1996;"
190988799"
First Kid;First Kid;1996;50465108
El regreso de los mejores / Los campeones 3;D3: The Migthy Ducks;1996;"
43713554"
Aladdín y el rey de los ladrones / Aladdín y los 40 ladrones;Aladdin and the King of Thieves;1996;
101 dálmatas: ¡Ahora la magia es real! / 101 dálmatas: ¡Más vivos que nunca!;101 Dalmatians;1996;258728898
Un gato del FBI;That Darn Cat;1997;"
33613158"
Jungle 2 Jungle;Jungle 2 Jungle;1997;"
110058379"
Hércules;Hércules;1997;"
182029412"
George de la selva / George de la jungla;George of the Jungle;1997;193326632
Air Bud;Air Bud;1997;45266588
RocketMan / El astronauta;RocketMan;1997;"
28371890"
Flubber;Flubber;1997;170406423
Mr. Magoo;Mr. Magoo;1997;"
39145784"
La bella y la bestia 2: Una Navidad Encantada;Beauty and the Beast: The Enchanted Christmas;1997;
Vaya par de locos / Locura en el campamento;Meet the Deedles;1998;7829877
El mundo mágico de Bella;Belle's Magical World;1998;
Mulán;Mulan;1998;216807832
Pocahontas 2: Viaje a un Nuevo Mundo;Pocahontas II: Journey to a New World;1998;
El rey león 2;The Lion King II: Simba's Pride;1998;
Juego de Gemelas / Tú a Londres y yo a California;The Parent Trap;1998;"
119185667"
Air Bud 2: el fichaje de la liga;Air Bud : Golden Reciever;1998;
I'll Be Home for Christmas;I'll Be Home for Christmas;1998;"
21941840"
Bichos: Una aventura en miniatura;A Bug's Life;1998;"
288981698"
Mi Gran Amigo Joe;Migthy Joe Young;1998;87906042
Mi marciano favorito;My Favorite Martian;1999;"
61150849"
Doug: La película / Doug: Su 1ª película;Doug's 1st Movie;1999;32228598
Endurance;Endurance;1999;380218
Tarzán;Tarzan;1999;"
283900254"
Inspector Gadget;Inspector Gadget;1999;161610341
The Straight Story;The Straight Story;1999;10111144
La mano detrás del ratón: la historia de Ub Iwerks;The Hand Behind the Mouse: The Ub Iwerks Story;1999;
Mickey celebra la Navidad / Mickey descubre la Navidad;Mickey's Once Upon a Christmas;1999;
Toy Story 2;Toy Story 2;1999;404450426
Fantasía 2000;Fantasia 2000;2000;14238144
La película de Tigger;The Tigger Movie;2000;71228678
Aventura elefantástica;Whispers: An Elephant's Tale;2000;
Goofy 2: Extremadamente Goofy / Explosivamente Goofy;An Extremely Goofy Movie;2000;
Dinosaurio;Dinosaur;2000;215438985
Buzz Lightyear, Comando Estelar: La aventura comienza / Buzz Lightyear: La película;Buzz Lightyear of Star Command: The Adventure Begins;2000;
La sirenita 2: Regreso al mar;The Little Mermaid II: Return to the Sea;2000;
El chico / Mi encuentro conmigo;The Kid;2000;110,317,580
Duelo de Titanes / Grito de Titanes;Remember the Titans;2000;180742479
102 Dálmatas;102 Dalmatians;2000;104055039
Las locuras del emperador / El emperador y sus locuras;The Emperor's New Groove;2000;136789252
La dama y el vagabundo II: Las aventuras de Scamp / La dama y el vagabundo II: Las aventuras de Golfillo;Lady and the Tramp II: Scamp's Adventure;2001;
La hija de Robin Hood;Princess of Thieves;2001;
Llegó el recreo / La banda del patio - La película;Recess: School's Out;2001;"
54656124"
Atlantis: El imperio perdido;Atlantis: The Lost Empire;2001;125188122
El diario de la princesa / Princesa por sorpresa;The Princess Diaries;2001;161218928
Max Keeble's Big Movie;Max Keeble's Big Movie;2001;25749730
The Other Side of Heaven;The Other Side of Heaven;2001;4760014
Monsters, Inc. / Monstruos S.A.;Monsters, Inc.;2001;416073179
El Club de los Villanos con Mickey y sus Amigos / El Club de los Villanos;Mickey's House of Villains;2001;
La Navidad Mágica de Mickey;Mickey's Magical Christmas: Snowed in at the House of Mouse;2001;
Frío de perros / Aventuras en Alaska;Snow Dogs;2002;117745317
Peter Pan: El regreso al país de Nunca Jamás / Peter Pan en regreso al país de Nunca Jamás;Return to Never Land;2002;"
70269715"
El novato;The Rookie;2002;109691666
Lilo & Stitch;Lilo & Stitch;2002;211506702
La Cenicienta 2: Un sueño hecho realidad / La Cenicienta 2: ¡La magia no termina a medianoche!;Cinderella II: Dreams Come True;2002;
El jorobado de Notre Dame 2;The Hunchback of Notre Dame II;2002;
Tarzán y Jane;Tarzan & Jane;2002;
The Country Bears;The Country Bears;2002;"
24650121"
Tuck Everlasting;Tuck Everlasting;2002;"
27789959"
Santa Cláusula 2 / Santa Claus 2;The Santa Clause 2;2002;201959095
El planeta del tesoro;Treasure Planet;2002;"
55189145"
101 dálmatas 2;101 dalmatians 2;2003;
El libro de la selva 2;The Jungle Book 2;2003;"
66966883"
La Gran Película de Piglet;Piglet's Big Movie;2003;"
32298812"
Atlantis: El regreso de Milo;Atlantis: Milo's Return;2003;
La película de Stitch;Stitch! The Movie;2003;
Los fantasmas del Titanic;Ghosts of the Abyss;2003;23803108
El misterio de los Excavadores;Holes;2003;"
94203395"
Buscando a Nemo;Finding Nemo;2003;518148559
Piratas del Caribe: La maldición de la Perla Negra / Piratas del Caribe: La maldición del Perla Negra;Pirates of the Caribbean: The Curse of the Black Pearl;2003;426967926
Un viernes de locos / Ponte en mi lugar;Freaky Friday;2003;"
154090360"
Lizzie Superstar / Lizzie McGuire: Estrella Pop;The Lizzie McGuire Movie;2003;59743191
Tierra de osos / Hermano oso;Brother Bear;2003;"
119218333"
La Mansión Encantada / La Mansión Embrujada;The Haunted Mansion;2003;105775678
Kim Possible: Problemas en el Tiempo / Kim Possible: A través del tiempo;Kim Possible: A Sitch in Time;2003;
El joven corcel negro / Shetan, el caballo del desierto;The Young Black Stallion;2003;"
9254344"
Mulán 2;Mulan 2;2004;
El rey león 3: ¡Hakuna Matata!;The Lion King 1 1/2;2004;1465
Una Primavera con Rito;Springtime with Roo;2004;
Mickey, Donald y Goofy: Los tres mosqueteros;Mickey, Donald, Goofy: The Three Musketeers;2004;
Mickey y sus amigos juntos otra Navidad / Mickey: La Mejor Navidad;Mickey's Twice Upon a Christmas;2004;
Teacher's Pet / Este perro es un crack;Teacher's Pet;2004;8812764
Miracle;Miracle;2004;"
87392478"
Confesiones de una típica adolescente / Quiero ser superfamosa;Confessions of a Teenage Drama Queen;2004;39816568
Vacas Vaqueras / Zafarrancho en el rancho;Home on the Range;2004;67910166
Sacred Planet;Sacred Planet;2004;1108356
America's Heart and Soul;America's Heart and Soul;2004;426246
El Diario De La Princesa 2 / Princesa por sorpresa 2;The Princess Diaries 2: Royal Engagement;2004;"
129164207"
Los Increíbles;The Incredibles;2004;354488708
La búsqueda / La leyenda del tesoro perdido;National Treasure;2004;"
234069353"
Aliens of the Deep / Misterios del océano;Aliens of the Deep;2005;"12775590
"
Winnie Pooh y el pequeño efelante / La película de Héffalump;Pooh's Heffalump Movie;2005;"
23801835"
Tarzán 2;Tarzan 2;2005;
Lilo y Stitch 2: En corto circuito / Lilo y Stitch 2: El efecto del defecto;Lilo & Stitch 2: Stitch Has a Glitch;2005;
Kim Possible la película: Todo un drama / Kim Possible: Sí es para Tanto;Kim Possible Movie: So the Drama;2005;
La familia Proud: La película / Los Proud: La Película;The Proud Family Movie;2005;
Una niñera a prueba de balas / Niñera a prueba de balas;The Pacifier;2005;"
148619029"
Soñando, soñando triunfé patinando / Sueños sobre hielo;Ice Princess;2005;32064685
Herbie: A Tope / Herbie a toda marcha;Herbie: Fully Loaded;2005;86812798
Sky High: Una escuela de altos vuelos / Súper Escuela de Héroes;Sky High;2005;"
84088854"
El juego que hizo historia;The Greatest Game Ever Played;2005;20162672
Chicken Little;Chicken Little;2005;"
177954661"
Las crónicas de Narnia: el león, la bruja y el armario / Las crónicas de Narnia: el león, la bruja y el ropero;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;2005;"
381557539"
Las Locuras de Kronk / El emperador y sus locuras 2: La Gran Aventura de Kronk;Kronk's New Groove;2005;
Bambi II: El príncipe del bosque;Bambi II;2006;
Camino a la gloria;Glory Road;2006;"
54888236"
Roving Mars;Roving Mars;2006;12948025
Rescate en la Antártida / Bajo cero;Eight Below;2006;105037235
Un Papá con Pocas Pulgas / Cariño, estoy hecho un perro;The Shaggy Dog;2006;"
78667428"
Salvaje / Vida salvaje;The Wild;2006;"
48114115"
Cars / Cars: Una aventura sobre ruedas;Cars;2006;"
314140384"
Leroy y Stitch;Leroy & Stitch;2006;
Tierra de osos 2 / Hermano Oso 2;Brother bear 2;2006;
El zorro y el sabueso 2 / Tod y Toby 2;The Fox and the Hound 2;2006;
Piratas del Caribe: El cofre del hombre muerto / Piratas de Caribe: El Cofre de la Muerte;Pirates of the Caribbean: Dead Man's Chest;2006;544817142
Buddy, Familia al recate / Air Buddies;Air Buddies;2006;
Invencible;Invincible;2006;"
74398864"
Santa Cláusula 3 / Santa Claus 3: Por una navidad sin frío;The Santa Clause 3: The Escape Clause;2006;108694869
La Cenicienta 3: Un giro en el tiempo / Cenicienta: ¿Qué pasaría sí...?;Cinderella III: A Twist in Time;2007;
La Familia del Futuro / Descubriendo a los Robinson;Meet The Robinsons;2007;169,333,034
Piratas del Caribe: en el fin del mundo;Pirates of the Caribbean: At World's End;2007;379129960
Ratatouille;Ratatouille;2007;"
252955933"
Superdog / Supercan;Underdog;2007;"
53619462"
La historia de Pixar;The Pixar Story;2007;
Entrenando a papá / Papá por sorpresa;The Game Plan;2007;"
111010758"
Encantada / Encantada: la historia de Giselle;Enchanted;2007;"
156074310"
La búsqueda 2: El diario secreto / La Leyenda del Tesoro Perdido 2: El Libro de los Secretos;National Treasure: Book of Secrets;2007;267003525
Hannah Montana & Miley Cyrus en Concierto: Lo Mejor de Ambos Mundos;Hannah Montana & Miley Cyrus: Best of Both Worlds Concert;2008;"
76646993"
Loco Viaje al Campus / Un viaje de aquellos;College Road Trip;2008;"
53550960"
Las crónicas de Narnia: el príncipe Caspian;The Chronicles of Narnia: Prince Caspian;2008;166277038
Dasavathaaram;Dasavathaaram;2008;
WALL·E;WALL-E;2008;"
262771918"
